Filename,Execution Time (s),Number of Variables,Satisfiability
data_kSAT_hberens.cnf,0.03305220603942871,20,S
data_kSAT_hberens.cnf,0.12651276588439941,20,U
data_kSAT_hberens.cnf,0.19255447387695312,22,U
data_kSAT_hberens.cnf,0.2558023929595947,22,U
data_kSAT_hberens.cnf,0.1441364288330078,22,S
data_kSAT_hberens.cnf,0.18143701553344727,22,U
data_kSAT_hberens.cnf,0.026414155960083008,22,S
data_kSAT_hberens.cnf,0.1932830810546875,22,U
data_kSAT_hberens.cnf,0.04208803176879883,22,S
data_kSAT_hberens.cnf,0.25647664070129395,22,U
data_kSAT_hberens.cnf,0.028231382369995117,22,S
data_kSAT_hberens.cnf,0.28814053535461426,22,U
data_kSAT_hberens.cnf,0.44513893127441406,24,U
data_kSAT_hberens.cnf,0.22809362411499023,24,S
data_kSAT_hberens.cnf,0.5669689178466797,24,U
data_kSAT_hberens.cnf,0.22092771530151367,24,S
data_kSAT_hberens.cnf,0.08889174461364746,24,S
data_kSAT_hberens.cnf,0.44872069358825684,24,U
data_kSAT_hberens.cnf,0.18722009658813477,24,S
data_kSAT_hberens.cnf,0.1506791114807129,24,S
data_kSAT_hberens.cnf,0.34917473793029785,24,U
data_kSAT_hberens.cnf,0.17762994766235352,24,S
data_kSAT_hberens.cnf,4.5299530029296875e-05,4,S
data_kSAT_hberens.cnf,4.839897155761719e-05,4,S
data_kSAT_hberens.cnf,2.4557113647460938e-05,4,S
data_kSAT_hberens.cnf,3.814697265625e-05,4,S
data_kSAT_hberens.cnf,1.9788742065429688e-05,4,S
data_kSAT_hberens.cnf,5.698204040527344e-05,4,S
data_kSAT_hberens.cnf,3.4332275390625e-05,4,S
data_kSAT_hberens.cnf,1.9073486328125e-05,4,S
data_kSAT_hberens.cnf,3.600120544433594e-05,4,S
data_kSAT_hberens.cnf,1.9550323486328125e-05,4,S
data_kSAT_hberens.cnf,0.00022673606872558594,8,S
data_kSAT_hberens.cnf,9.72747802734375e-05,8,S
data_kSAT_hberens.cnf,0.00012445449829101562,8,S
data_kSAT_hberens.cnf,0.00012159347534179688,8,S
data_kSAT_hberens.cnf,0.00013637542724609375,8,S
data_kSAT_hberens.cnf,0.0006699562072753906,8,S
data_kSAT_hberens.cnf,0.00013184547424316406,8,S
data_kSAT_hberens.cnf,0.00020003318786621094,8,S
data_kSAT_hberens.cnf,0.00016880035400390625,8,S
data_kSAT_hberens.cnf,0.00010037422180175781,8,S
data_kSAT_hberens.cnf,0.0003516674041748047,12,S
data_kSAT_hberens.cnf,0.0004951953887939453,12,S
data_kSAT_hberens.cnf,0.0005903244018554688,12,S
data_kSAT_hberens.cnf,0.0003771781921386719,12,S
